TV_Ads,Social_Media_Ads,Influencer_Marketing,Discount_Percentage,Website_Visits,Customer_Rating,Sales_Revenue
22183,44649,9970,39,7704,3.9,207507
39299,11949,4143,17,4713,4.1,118956
22874,47289,23591,45,6051,4.5,205337
42711,13017,11503,43,11756,3.5,306504
15539,11941,29767,19,3475,4.8,55509
63351,30934,17149,33,4610,3.8,57677
71267,28386,20922,33,5255,2.9,150322
58354,15209,14175,15,15484,4.2,249885
12557,22715,22931,36,2735,4.5,109477
48360,33920,24003,6,9258,3.3,195287
92018,36703,10356,18,8979,4.6,213875
12200,47318,24996,24,3428,4.8,212342
78497,9637,23389,26,13345,3.2,307873
56975,9854,17070,15,8426,5.0,225232
31357,48088,2822,31,9533,2.9,258066
87505,42660,19327,7,6249,3.0,114350
12869,44811,16289,21,10686,3.0,280410
71135,24856,8150,48,15109,4.7,350788
60108,26833,6425,32,1661,4.1,158670
48467,24963,27350,33,13075,2.9,234006
33328,41932,18032,25,15788,3.6,243686
96831,32169,4198,20,11060,4.0,305567
13987,12941,29732,41,16836,2.7,356237
68871,19388,22626,24,11526,4.7,227664
32399,10569,22079,10,4374,4.5,88524
56214,9300,5452,23,1207,3.8,155467
96416,44037,11106,9,3665,4.9,92480
80271,41586,15859,7,19877,3.5,458351
54064,17015,19692,5,1632,5.0,52563
80091,11254,22561,42,4083,4.2,212522
50818,22144,10705,19,14711,4.1,285297
55525,29214,12112,38,11123,2.9,294964
29830,45118,25236,39,8123,4.7,205806
27429,20183,24419,29,11754,3.6,251300
16893,11238,21978,28,2679,2.9,112148
89909,11090,6841,16,16901,2.5,278214
57333,16637,17358,22,1236,3.9,140878
13436,27415,3409,19,8446,3.8,166467
84290,29071,6566,48,5443,4.3,200297
86213,47679,13382,20,16463,4.7,303598
15895,46240,22875,31,9555,2.7,95706
29738,23271,19939,12,19752,4.3,355742
40746,41034,16596,29,17669,3.0,472304
59377,38434,2804,21,1148,4.6,149401
58404,9188,15221,33,14395,4.5,316344
64045,15161,3279,12,5895,3.9,147742
49790,33732,15192,19,18396,4.3,363161
15600,16314,9083,31,12023,3.3,282656
50764,28954,24370,11,11699,3.7,189124
84543,26508,24003,7,10715,4.6,302658
55714,26969,13093,33,17163,3.6,390474
66835,42545,19771,48,6782,3.4,260421
83744,41668,14880,28,19792,3.7,424707
66491,28061,29337,7,17724,4.6,348195
28589,18716,17517,24,3817,3.3,164286
53484,44749,21063,19,16096,2.9,351149
92989,44144,4106,29,19880,4.3,394101
46212,21907,26557,34,6299,4.6,170367
53525,23777,18086,18,10917,2.8,241143
57202,32693,22607,11,19073,3.1,434261
42635,47928,6831,21,4267,2.9,78720
73208,31329,21152,48,5406,3.4,130199
43828,21282,5186,24,18826,3.6,369925
28711,28624,29856,40,11382,4.4,279650
13420,28321,4573,13,5437,4.1,151313
10301,15488,14808,42,6435,4.1,202361
55236,27574,4599,26,5107,3.4,150990
76235,10240,6033,6,1560,4.6,172342
64240,48221,10428,28,13329,3.7,219714
75726,15478,3304,12,2826,4.9,85599
20492,24262,25752,15,12421,4.1,250340
16102,9432,24261,17,13265,2.8,172461
60336,34721,19685,21,8629,4.2,213177
95314,18568,20925,12,9325,3.3,305935
36641,19178,20435,25,8693,4.2,216745
44584,27195,25193,22,9264,2.7,225936
42745,5302,10633,34,13686,2.9,224694
33093,22022,28652,22,14716,4.6,275940
76105,5055,13372,35,7721,3.1,194430
61885,13717,29233,42,8373,4.6,227844
46631,33699,10996,36,6907,3.2,263431
82991,13150,18458,15,17127,4.1,371615
14014,7125,25365,49,6656,4.2,148426
21093,49247,28751,29,9984,3.8,252729
28070,21748,28665,37,9286,3.3,255995
45777,44577,7475,42,6901,3.0,263583
66958,9621,26616,45,5917,2.6,273745
92074,20034,28657,12,9429,3.3,174446
20729,10126,9184,15,15716,4.1,257620
55017,10122,24180,26,16795,4.8,285268
76320,23030,25525,28,12138,4.7,279143
37751,22302,14875,45,3530,4.4,187231
88069,24181,3622,21,19344,4.5,438320
64748,43638,17988,16,18432,4.2,362651
15801,6531,10041,36,6772,3.2,163558
29190,45940,18725,19,16476,4.8,341374
59689,45441,20458,20,19913,4.2,350880
60993,28333,9992,26,16751,3.9,448571
39592,44650,17646,32,3964,2.8,68425
20647,39674,19029,24,8137,3.6,209842
18716,40854,6263,37,18347,3.7,468402
98891,13152,27185,14,17920,4.7,366876
97545,43518,16060,44,14891,3.9,346095
99912,15267,24520,36,8340,3.5,222117
80316,30289,17156,37,8967,4.9,248199
12368,6062,10646,6,13415,2.8,307440
87575,34926,29529,37,12871,3.6,200960
16655,11229,28284,37,12916,2.6,349904
80031,9632,13664,45,9734,4.3,196363
86429,44056,4969,17,1845,4.8,115400
97922,8596,5028,34,3494,3.2,134775
65766,49243,26027,37,13677,4.6,356316
23403,11168,21065,17,19268,3.2,270309
42097,47563,5629,30,13330,4.8,325209
88657,12561,22609,26,6179,4.4,298992
20966,13258,5067,43,7610,4.5,145257
62921,21616,7941,6,7430,2.5,177149
59726,31734,19770,42,8154,4.9,211602
60300,11371,21250,43,14828,4.3,357912
32677,31069,23172,30,11145,3.3,254370
65609,19369,13555,19,7488,4.6,170362
66661,17910,23874,38,4850,3.2,200927
41024,12943,15081,46,18073,4.7,474722
80313,17199,22508,48,14564,2.8,325825
63006,20728,26724,44,6078,4.3,246936
25338,28275,22234,15,13168,3.9,202440
78027,11738,23799,7,6448,2.7,113901
90135,20913,28634,10,18563,3.1,381367
29508,40240,26063,13,10074,2.5,286516
13051,24123,8819,10,7406,3.7,182833
58747,39529,27712,13,9800,3.3,209333
97142,15167,26762,43,15083,4.0,352953
97235,15554,13046,35,2638,3.2,85179
64021,22260,27826,36,11340,3.2,302663
76412,8812,19717,45,2382,4.4,201937
68335,33024,22534,16,2403,2.6,90120
66179,32285,25150,12,10011,4.8,215726
42093,31900,4711,12,4292,4.6,152523
79678,6605,6853,32,10011,4.2,231238
90738,10622,24596,24,1419,4.0,118111
49734,11767,25863,11,13411,4.7,382472
82615,32139,23792,15,5517,3.0,154112
83523,16613,28361,24,16422,2.7,317871
27019,15589,9715,20,10700,3.1,192219
93613,18918,10942,8,6693,4.5,222887
96672,25119,17507,10,1767,2.6,93860
83847,32446,17826,26,19428,4.0,363174
92750,18046,3762,30,15818,5.0,417061
89634,29818,17850,7,2549,4.6,196811
38251,40358,14112,45,10956,3.8,245018
35945,9324,25485,46,7140,2.7,110581
42217,15787,26058,18,11837,4.6,310264
18308,14111,14652,15,4716,4.0,99374
15949,43110,8122,22,5481,2.8,188530
61990,21389,2481,16,7548,2.7,83054
11150,46427,16536,27,19677,4.8,429401
99480,19043,2153,16,5837,4.2,119805
84740,33746,9617,17,8758,4.6,265127
76617,27350,3524,29,11900,4.7,285971
26896,46605,4120,49,8993,3.9,199086
56175,5117,17048,23,6542,3.8,160128
17805,23935,4343,40,15828,3.6,361620
15237,18234,7136,49,17052,3.3,357593
30056,43328,24144,12,3385,3.6,149376
55543,5846,3240,33,15308,4.4,424791
66556,15954,2060,36,1671,4.0,49748
13343,18703,11130,48,1163,4.7,205077
23500,27700,20023,22,9656,3.6,224412
63222,37043,24569,10,12234,4.0,218873
39375,11469,14312,22,5795,4.1,99120
19662,35105,15350,23,11634,4.0,243381
26964,47101,26354,26,5798,4.3,225135
69638,31386,14418,41,19739,3.1,398810
83666,41976,3252,36,11749,3.8,365820
95067,44051,22587,45,6827,2.8,155049
77215,7048,10363,7,5719,3.5,152440
79042,44001,11650,32,1593,3.7,70270
23284,17941,21933,14,8394,4.1,210712
82789,47533,22581,39,15056,4.9,401559
94664,6828,25393,33,11636,4.0,265019
71389,6917,25051,19,1016,4.4,-25245
19435,25618,20706,37,4191,3.8,164960
64340,37254,28212,11,1392,4.1,126191
54078,44756,29691,16,7272,2.7,206149
88832,25128,18314,34,17955,3.1,437750
61293,5009,6090,25,4631,3.4,97035
88781,21644,8960,35,7172,3.7,251467
70403,27422,5004,28,10312,2.6,301202
39124,14865,23520,24,19663,2.9,280129
53919,7219,18713,41,9906,3.2,263791
45247,44809,5640,8,18159,4.9,324142
72752,10287,26366,32,19631,3.3,388497
66573,39387,22491,48,17462,3.7,404159
69101,13512,3341,24,9080,3.0,192870
36646,6342,13855,28,8099,4.0,170482
33049,48336,26791,36,15916,3.2,338256
89605,24216,2338,45,8083,3.0,182766
78385,32534,7895,40,10223,3.8,214600
50158,19231,14254,38,5940,2.5,213882
75417,37293,21092,40,4456,2.5,117337
33289,31614,13344,6,8788,3.0,218559
19823,41258,3750,19,3711,2.6,140397
70160,33253,23988,38,12280,2.8,203576
51975,47078,4421,40,19052,3.3,357146
19540,45752,9119,10,17531,4.5,390771
26364,22988,27285,43,13089,3.9,250508
14611,36037,7319,46,11142,3.8,245096
37663,17219,17896,16,17749,3.2,355204
61991,5235,24993,7,16587,4.8,362778
67679,47929,23771,49,10866,3.5,277637
40977,6908,13918,22,5531,2.7,119942
59115,13567,22377,44,13686,4.0,389765
98223,41298,27064,25,6330,2.8,284410
70890,10256,26428,19,6510,3.4,229254
76387,24019,15849,37,9964,3.8,264435
28071,13162,26622,39,7493,4.7,174821
69275,10415,29935,30,11759,3.7,233299
82369,41159,6873,12,6439,4.3,212004
21938,48925,6806,40,15473,5.0,362285
45195,10951,10592,34,10765,2.8,315429
14000,26852,14182,27,14279,3.2,319156
80588,13007,24297,46,7511,3.5,157027
48304,46832,25508,48,12483,3.6,359958
79449,35523,21541,18,18630,3.5,320143
92986,28325,18774,18,3376,4.8,134822
99643,26204,14045,6,12824,4.3,290705
30764,20524,6430,41,19211,4.0,486332
96027,24282,10820,9,7979,3.3,354224
48494,28930,26070,42,10832,4.6,309435
13373,5077,6232,49,13504,4.9,298596
22161,45345,13122,45,7910,4.6,257892
37350,25611,17023,18,15089,2.5,335197
35351,21984,10007,43,3196,4.1,136176
98668,19060,19905,29,6978,2.6,293310
